,A549$_{000}$,A549$_{001}$,A549$_{002}$,A549$_{100}$,A549$_{101}$,A549$_{102}$,A549$_{200}$,A549$_{201}$,A549$_{300}$,A549$_{301}$,A549$_{302}$,GM12878$_{400}$,GM12878$_{401}$,HepG2$_{500}$,HepG2$_{501}$,IMR-90$_{600}$,IMR-90$_{601}$,K562$_{700}$,K562$_{701}$,RWPE2$_{800}$,RWPE2$_{801}$,RWPE2$_{802}$,WTC11$_{900}$,WTC11$_{901}$
A549$_{000}$,1.0,0.868735255114361,0.8549156633244138,0.6781571584968332,0.685116657178937,0.6763701030749504,0.6678776616422623,0.6613582025721472,0.6785663384146867,0.6517982438823233,0.6629670912604798,0.44009131101334514,0.45135548814185256,0.49479859558368294,0.5044831997490374,0.5638724553051915,0.5732643616629652,0.4640828703000273,0.46623765011275636,0.5136116114200346,0.5308375159314149,0.5406117787207715,0.5179472306850592,0.5181212138602551
A549$_{001}$,0.868735255114361,1.0,0.8369176345572762,0.6700408919650646,0.6664144925595366,0.6582675636097628,0.6565073347273586,0.6524549929927335,0.6663689481951642,0.637740818066677,0.6509824320025267,0.443875347680408,0.4535647724226982,0.4946279294084452,0.5081189722976662,0.5637682819843811,0.5753957155519168,0.46851666868012026,0.47044073931702185,0.5079009693168984,0.526528259878916,0.5374356912175369,0.5151411516793774,0.5127492162123238
A549$_{002}$,0.8549156633244138,0.8369176345572762,1.0,0.671917211091739,0.6944822067901555,0.6801562144171767,0.6827882430932345,0.6685965765644488,0.6751045309791601,0.6492234499284502,0.6599674942350751,0.44682506078563544,0.45865903523478363,0.5080878136789597,0.5160878747879686,0.5757274197733573,0.5834253936455558,0.4775829595962711,0.4791185108903697,0.5174007638352484,0.5405135783633159,0.546467358258256,0.5361886000146235,0.5366046570510327
A549$_{100}$,0.6781571584968332,0.6700408919650646,0.671917211091739,1.0,0.7646302355839393,0.7901788209150865,0.7671402476115604,0.8180970667411014,0.8297812844948426,0.838663304457296,0.8378077630040781,0.4751281781104451,0.45278724713256674,0.40953691902919553,0.45956993795749784,0.5044926278098962,0.5284897582144378,0.44005135950071483,0.4592314985116556,0.40275677617957,0.4382756979389008,0.4511077032951867,0.4390854945901008,0.43383672962967507
A549$_{101}$,0.685116657178937,0.6664144925595366,0.6944822067901555,0.7646302355839393,1.0,0.849872703270309,0.7953580180068104,0.7822929733257485,0.7564501032629569,0.7514509058300599,0.7484191203875293,0.45435697061202845,0.4665439686203442,0.5076177590192272,0.5152789239578135,0.5625660847143588,0.5647755531157082,0.4634427031816816,0.47823416021168774,0.5056182789402155,0.5343048050054813,0.5349584145319285,0.5376284109671178,0.5407196271437735
A549$_{102}$,0.6763701030749504,0.6582675636097628,0.6801562144171767,0.7901788209150865,0.849872703270309,1.0,0.7907353109978305,0.7942870319228459,0.7731677073794337,0.7740061222776742,0.7654322399624133,0.454812209591162,0.46416017896285344,0.4875259449900678,0.5009706895134288,0.5484697448166969,0.5530428471887125,0.4535591094440347,0.4698070500540615,0.4875097493331028,0.518066694520314,0.5190969797097611,0.5200471013270166,0.5212709334700386
A549$_{200}$,0.6678776616422623,0.6565073347273586,0.6827882430932345,0.7671402476115604,0.7953580180068104,0.7907353109978305,1.0,0.8371740353989932,0.7607144320823837,0.7517097877994291,0.7531660537895902,0.4671500983221811,0.46320780963164826,0.4882286007191848,0.5118623694687294,0.5511393767682664,0.5531143345624887,0.46320811352768937,0.48109588149811444,0.460110519438592,0.4933014929912983,0.496032711098339,0.5108674981634985,0.5110744265189797
A549$_{201}$,0.6613582025721472,0.6524549929927335,0.6685965765644488,0.8180970667411014,0.7822929733257485,0.7942870319228459,0.8371740353989932,1.0,0.7977167767488735,0.7989923385086822,0.7959153433057319,0.4896759500721659,0.48122496796602954,0.47572314790277226,0.5108939166611163,0.5455016644741423,0.5566046303498061,0.4695876446133878,0.4867484579341319,0.4490533106722225,0.48456158015267947,0.4908813782182657,0.5034632170326019,0.5006146853431547
A549$_{300}$,0.6785663384146867,0.6663689481951642,0.6751045309791601,0.8297812844948426,0.7564501032629569,0.7731677073794337,0.7607144320823837,0.7977167767488735,1.0,0.9055045743537848,0.9128445106428335,0.48759255375399796,0.4681826495282473,0.43093726317089925,0.47605822196505854,0.5325850810091237,0.553944968073016,0.45462710963774594,0.4709467952186404,0.4299896097692121,0.4595957571068718,0.47294096866043817,0.4605717875090942,0.45545931391005184
A549$_{301}$,0.6517982438823233,0.637740818066677,0.6492234499284502,0.838663304457296,0.7514509058300599,0.7740061222776742,0.7517097877994291,0.7989923385086822,0.9055045743537848,1.0,0.9108511651538694,0.48955461598352834,0.46845731832155363,0.421090170338041,0.46960034138309475,0.5252390405582856,0.5488664125219789,0.4527031737127993,0.4708562420370228,0.4196710646662465,0.44947226226444115,0.4626724958765879,0.4578495730805081,0.4533541925609534
A549$_{302}$,0.6629670912604798,0.6509824320025267,0.6599674942350751,0.8378077630040781,0.7484191203875293,0.7654322399624133,0.7531660537895902,0.7959153433057319,0.9128445106428335,0.9108511651538694,1.0,0.48657581270225797,0.4652863816637697,0.4155698815526685,0.46316114667671743,0.5200857443159735,0.5427694654110601,0.4488560692578027,0.4653551157766365,0.41262310693697124,0.44416872395762536,0.45792931533840575,0.44723047499128976,0.4415714585554394
GM12878$_{400}$,0.44009131101334514,0.443875347680408,0.44682506078563544,0.4751281781104451,0.45435697061202845,0.454812209591162,0.4671500983221811,0.4896759500721659,0.48759255375399796,0.48955461598352834,0.48657581270225797,1.0,0.8618159085876242,0.4518108571902873,0.5160657843622164,0.5570969658636092,0.5841091329926706,0.5462787440945754,0.5750357171029779,0.37362769157978903,0.41160797467896215,0.42120343868572735,0.49047134544239507,0.4731277047397643
GM12878$_{401}$,0.45135548814185256,0.4535647724226982,0.45865903523478363,0.45278724713256674,0.4665439686203442,0.46416017896285344,0.46320780963164826,0.48122496796602954,0.4681826495282473,0.46845731832155363,0.4652863816637697,0.8618159085876242,1.0,0.4828344343076285,0.5264730039548112,0.5614663417583043,0.5811388059284825,0.546577582890788,0.5660380999277559,0.4171633204318037,0.45187677323711556,0.4562496058285147,0.5260343549055669,0.5163148098850293
HepG2$_{500}$,0.49479859558368294,0.4946279294084452,0.5080878136789597,0.40953691902919553,0.5076177590192272,0.4875259449900678,0.4882286007191848,0.47572314790277226,0.43093726317089925,0.421090170338041,0.4155698815526685,0.4518108571902873,0.4828344343076285,1.0,0.8157238910406747,0.5754321437461202,0.5667082937179757,0.496792327717288,0.5081525561678985,0.5316082600914782,0.5522193038638086,0.5485457755589257,0.5889922597927145,0.5857942264945749
HepG2$_{501}$,0.5044831997490374,0.5081189722976662,0.5160878747879686,0.45956993795749784,0.5152789239578135,0.5009706895134288,0.5118623694687294,0.5108939166611163,0.47605822196505854,0.46960034138309475,0.46316114667671743,0.5160657843622164,0.5264730039548112,0.8157238910406747,1.0,0.5988768690818244,0.6030482364296876,0.5388633936918549,0.5596884602692606,0.5002933401204979,0.5320111979220872,0.5354053913555799,0.5890698304101103,0.57755375752364
IMR-90$_{600}$,0.5638724553051915,0.5637682819843811,0.5757274197733573,0.5044926278098962,0.5625660847143588,0.5484697448166969,0.5511393767682664,0.5455016644741423,0.5325850810091237,0.5252390405582856,0.5200857443159735,0.5570969658636092,0.5614663417583043,0.5754321437461202,0.5988768690818244,1.0,0.8408473512135892,0.5636661542789456,0.5859052331726164,0.5374919737766256,0.569417450200408,0.5751786628896434,0.620874650992246,0.6146468554936145
IMR-90$_{601}$,0.5732643616629652,0.5753957155519168,0.5834253936455558,0.5284897582144378,0.5647755531157082,0.5530428471887125,0.5531143345624887,0.5566046303498061,0.553944968073016,0.5488664125219789,0.5427694654110601,0.5841091329926706,0.5811388059284825,0.5667082937179757,0.6030482364296876,0.8408473512135892,1.0,0.5783749727700208,0.6037393816314833,0.5276466111529492,0.5620276890795617,0.5680714839971495,0.6202075990018394,0.6092837937830647
K562$_{700}$,0.4640828703000273,0.46851666868012026,0.4775829595962711,0.44005135950071483,0.4634427031816816,0.4535591094440347,0.46320811352768937,0.4695876446133878,0.45462710963774594,0.4527031737127993,0.4488560692578027,0.5462787440945754,0.546577582890788,0.496792327717288,0.5388633936918549,0.5636661542789456,0.5783749727700208,1.0,0.8644445283492885,0.4230564120308762,0.45966139822741553,0.4660576628633013,0.5541116411011585,0.5486636125875715
K562$_{701}$,0.46623765011275636,0.47044073931702185,0.4791185108903697,0.4592314985116556,0.47823416021168774,0.4698070500540615,0.48109588149811444,0.4867484579341319,0.4709467952186404,0.4708562420370228,0.4653551157766365,0.5750357171029779,0.5660380999277559,0.5081525561678985,0.5596884602692606,0.5859052331726164,0.6037393816314833,0.8644445283492885,1.0,0.4230968442919373,0.4615134534398221,0.4661222833498844,0.5596276262563868,0.5497686032771234
RWPE2$_{800}$,0.5136116114200346,0.5079009693168984,0.5174007638352484,0.40275677617957,0.5056182789402155,0.4875097493331028,0.460110519438592,0.4490533106722225,0.4299896097692121,0.4196710646662465,0.41262310693697124,0.37362769157978903,0.4171633204318037,0.5316082600914782,0.5002933401204979,0.5374919737766256,0.5276466111529492,0.4230564120308762,0.4230968442919373,1.0,0.8132711244287154,0.8118586200547592,0.5436991190771946,0.5521610437244163
RWPE2$_{801}$,0.5308375159314149,0.526528259878916,0.5405135783633159,0.4382756979389008,0.5343048050054813,0.518066694520314,0.4933014929912983,0.48456158015267947,0.4595957571068718,0.44947226226444115,0.44416872395762536,0.41160797467896215,0.45187677323711556,0.5522193038638086,0.5320111979220872,0.569417450200408,0.5620276890795617,0.45966139822741553,0.4615134534398221,0.8132711244287154,1.0,0.8508783738590039,0.57760565861593,0.5875192776136903
RWPE2$_{802}$,0.5406117787207715,0.5374356912175369,0.546467358258256,0.4511077032951867,0.5349584145319285,0.5190969797097611,0.496032711098339,0.4908813782182657,0.47294096866043817,0.4626724958765879,0.45792931533840575,0.42120343868572735,0.4562496058285147,0.5485457755589257,0.5354053913555799,0.5751786628896434,0.5680714839971495,0.4660576628633013,0.4661222833498844,0.8118586200547592,0.8508783738590039,1.0,0.5718020546871664,0.5769384107968575
WTC11$_{900}$,0.5179472306850592,0.5151411516793774,0.5361886000146235,0.4390854945901008,0.5376284109671178,0.5200471013270166,0.5108674981634985,0.5034632170326019,0.4605717875090942,0.4578495730805081,0.44723047499128976,0.49047134544239507,0.5260343549055669,0.5889922597927145,0.5890698304101103,0.620874650992246,0.6202075990018394,0.5541116411011585,0.5596276262563868,0.5436991190771946,0.57760565861593,0.5718020546871664,1.0,0.8510087162945567
WTC11$_{901}$,0.5181212138602551,0.5127492162123238,0.5366046570510327,0.43383672962967507,0.5407196271437735,0.5212709334700386,0.5110744265189797,0.5006146853431547,0.45545931391005184,0.4533541925609534,0.4415714585554394,0.4731277047397643,0.5163148098850293,0.5857942264945749,0.57755375752364,0.6146468554936145,0.6092837937830647,0.5486636125875715,0.5497686032771234,0.5521610437244163,0.5875192776136903,0.5769384107968575,0.8510087162945567,1.0
